Country,GDP per capita (USD),Life satisfaction
Australia,48651.734,7.1
Austria,51854.75,7.2
Belgium,49030.992,6.8
Canada,46193.176,7.0
Czechia,38639.98,6.9
Denmark,55275.062,7.5
Estonia,35883.266,6.5
Finland,47371.22,7.9
France,42344.945,6.7
Germany,51780.027,7.3
Greece,27009.207,5.8
Hungary,31232.102,6.0
Iceland,51684.402,7.6
Israel,39680.664,7.2
Italy,39093.523,6.5
Japan,40044.508,6.1
Latvia,29575.568,6.2
Lithuania,37179.766,6.4
Netherlands,54275.004,7.5
New Zealand,42052.14,7.3
Poland,32546.826,6.1
Portugal,32011.324,5.8
Russia,26586.555,5.5
Slovakia,30960.959,6.5
Slovenia,37155.023,6.5
South Korea,42396.76,5.8
Spain,36051.418,6.5
Sweden,51331.28,7.3
Turkey,28726.191,4.9
United Kingdom,41895.824,6.8
United States,60158.91,7.0
